distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
77.348,0.21738754,0.17955243,,0.16960923,0.19499648,,0.26019162,0.29769648
77.727,0.22057009,0.17240458,,0.16711318,0.19655674,,0.2617968,0.30444141
78.107,0.23361738,0.1716898,,0.16083978,0.17942065,,0.26837411,0.3040339
78.486,0.22862447,0.17764372,,0.15671853,0.1902845,,0.27779518,0.30648945
78.865,0.22081224,0.16859502,,0.15509887,0.18006705,,0.27783789,0.30598266
79.244,0.22351049,0.16187132,,0.15766703,0.1935967,,0.28099485,0.29144266
79.623,0.2247443,0.1632302,,0.1629531,0.20071594,,0.27641423,0.29482819
80.002,0.23068275,0.17995303,,0.16152203,0.20547249,,0.27024266,0.30890843
80.382,0.23159946,0.19978635,,0.17284855,0.19070354,,0.27811194,0.31722073
80.761,0.2279845,0.19753203,,0.16392379,0.19545118,,0.27754604,0.32435228
81.14,0.23074617,0.1935418,,0.15792773,0.17608616,,0.2774357,0.34116498
81.519,0.23791266,0.19091045,,0.15388413,0.18760978,,0.27657083,0.33983793
81.898,0.24785236,0.17168194,,0.15354577,0.18463637,,0.2839098,0.3321996
82.277,0.23698442,0.17886907,,0.16104501,0.18924136,,0.2927792,0.32156758
82.657,0.22620873,0.17701534,,0.15124386,0.19257585,,0.28748318,0.30689174
83.036,0.22496915,0.17124208,,0.13826441,0.19238862,,0.28753301,0.29850629
83.415,0.2221556,0.18286715,,0.14026125,0.1888981,,0.28737285,0.29992215
83.794,0.21316145,0.19409949,,0.14304573,0.19105126,,0.27096873,0.30835985
84.173,0.22308384,0.18410035,,0.14946335,0.19246886,,0.27854616,0.31057507
84.552,0.24294593,0.17658333,,0.14743323,0.19177343,,0.28439028,0.3123253
84.932,0.24584597,0.16770743,,0.14170341,0.19537094,,0.26905747,0.31419048
85.311,0.23083842,0.16017469,,0.15299664,0.204572,,0.26658386,0.31629598
85.69,0.22605307,0.16600294,,0.16639765,0.20263728,,0.26085363,0.31504208
86.069,0.22732724,0.17423475,,0.16149985,0.19575878,,0.26108141,0.32291552
86.448,0.22012038,0.17133633,,0.15717891,0.17901499,,0.27341387,0.31932624
86.827,0.21173737,0.17112425,,0.16430651,0.1827284,,0.28236869,0.30913831
87.206,0.21516207,0.17275805,,0.16141665,0.18419504,,0.28344711,0.29640079
87.586,0.22261684,0.16975752,,0.16092853,0.19707385,,0.2868105,0.28780636
87.965,0.22984675,0.17962313,,0.15385085,0.19676626,,0.29369746,0.29608731
88.344,0.22391984,0.17528729,,0.13748232,0.20274427,,0.27567037,0.30910174
